Rank,Crypto_Name,Crypto_Symbol,Crypto_MarketCap,Crypto_Price,Crypto_CirculatingSupply
1,Bitcoin,BTC,"$793,156,354,743.99","$41,911.60","18,924,506 BTC"
2,Ethereum,ETH,"$376,068,612,893.65","$3,157.75","119,093,797 ETH"
3,Tether,USDT,"$78,312,801,194.12",$1.00,"78,292,663,468 USDT *"
4,Binance Coin,BNB,"$73,192,856,244.13",$438.80,"166,801,148 BNB *"
5,Solana,SOL,"$43,849,094,270.10",$140.84,"311,341,963 SOL *"
6,USD Coin,USDC,"$43,635,467,097.34",$0.9998,"43,642,646,024 USDC *"
7,Cardano,ADA,"$39,340,035,970.11",$1.17,"33,513,387,744 ADA"
8,XRP,XRP,"$35,897,214,432.04",$0.7545,"47,577,198,013 XRP *"
9,Terra,LUNA,"$26,692,037,534.79",$74.48,"358,401,296 LUNA *"
10,Polkadot,DOT,"$24,321,430,602.00",$24.63,"987,579,315 DOT *"
11,Avalanche,AVAX,"$21,773,594,951.72",$89.21,"244,080,661 AVAX *"
12,Dogecoin,DOGE,"$20,041,892,126.47",$0.1511,"132,670,764,300 DOGE"
13,Shiba Inu,SHIB,"$15,553,511,774.42",$0.00002833,"549,063,278,876,302 SHIB *"
14,Polygon,MATIC,"$15,153,231,168.34",$2.12,"7,162,892,403 MATIC *"
15,Binance USD,BUSD,"$14,035,630,997.49",$1.00,"14,024,581,523 BUSD *"
16,Chainlink,LINK,"$12,873,687,002.84",$27.57,"467,009,550 LINK *"
17,Crypto.com Coin,CRO,"$11,657,369,434.11",$0.4614,"25,263,013,692 CRO *"
18,Wrapped Bitcoin,WBTC,"$11,200,154,678.05","$42,006.22","266,631 WBTC *"
19,TerraUSD,UST,"$10,409,928,845.70",$0.9968,"10,442,828,505 UST *"
20,Uniswap,UNI,"$9,914,708,201.82",$15.81,"627,285,937 UNI *"
29,Stellar,XLM,"$6,461,174,541.21",$0.2613,"24,729,535,312 XLM *"
30,Fantom,FTM,"$6,095,013,687.30",$2.39,"2,545,006,273 FTM *"
31,Decentraland,MANA,"$5,365,386,282.40",$2.94,"1,824,529,335 MANA *"
32,FTX Token,FTT,"$5,164,194,565.24",$37.21,"138,768,340 FTT *"
33,VeChain,VET,"$4,932,024,475.17",$0.07668,"64,315,576,989 VET *"
34,Hedera,HBAR,"$4,930,372,287.13",$0.2725,"18,092,792,421 HBAR *"
35,Filecoin,FIL,"$4,443,431,149.26",$30.23,"146,963,459 FIL"
36,Bitcoin BEP2,BTCB,"$4,412,873,045.76","$41,978.86","105,121 BTCB *"
37,Axie Infinity,AXS,"$4,388,552,598.98",$72.05,"60,907,500 AXS *"
38,The Sandbox,SAND,"$4,345,082,385.40",$4.72,"919,748,319 SAND *"
39,Theta Network,THETA,"$4,036,943,174.63",$4.04,"1,000,000,000 THETA *"
40,Elrond,EGLD,"$3,956,853,942.23",$197.89,"19,995,348 EGLD *"
41,Ethereum Classic,ETC,"$3,934,529,118.80",$29.77,"132,180,748 ETC"
42,Tezos,XTZ,"$3,698,479,715.44",$4.23,"873,677,670 XTZ *"
43,UNUS SED LEO,LEO,"$3,580,147,584.41",$3.75,"953,954,130 LEO *"
44,Helium,HNT,"$3,507,153,528.32",$33.12,"105,887,099 HNT"
45,Klaytn,KLAY,"$3,486,425,581.27",$1.35,"2,585,359,680 KLAY *"
46,Monero,XMR,"$3,441,668,449.95",$190.57,"18,060,293 XMR"
47,Harmony,ONE,"$3,392,447,749.63",$0.2929,"11,581,682,801 ONE *"
48,IOTA,MIOTA,"$2,983,137,079.18",$1.07,"2,779,530,283 MIOTA *"
49,Aave,AAVE,"$2,834,978,721.03",$210.32,"13,479,191 AAVE *"
50,PancakeSwap,CAKE,"$2,767,898,128.42",$10.76,"257,334,816 CAKE *"
51,The Graph,GRT,"$2,754,897,812.27",$0.5842,"4,715,735,200 GRT *"
52,EOS,EOS,"$2,732,985,097.59",$2.80,"977,397,648 EOS *"
53,Stacks,STX,"$2,667,787,406.11",$2.06,"1,292,586,516 STX *"
54,Flow,FLOW,"$2,472,661,621.17",$7.80,"316,835,587 FLOW *"
55,BitTorrent,BTT,"$2,453,644,523.81",$0.002478,"990,000,000,000 BTT *"
56,Gala,GALA,"$2,288,918,772.77",$0.3281,"6,977,205,436 GALA *"
57,Maker,MKR,"$2,093,670,482.69","$2,124.36","985,552 MKR *"
58,Loopring,LRC,"$2,091,954,609.74",$1.57,"1,328,716,100 LRC *"
59,Kusama,KSM,"$2,089,772,555.67",$246.72,"8,470,098 KSM *"
60,Bitcoin SV,BSV,"$2,071,878,508.20",$109.35,"18,947,233 BSV"
61,Quant,QNT,"$2,071,246,707.35",$171.56,"12,072,738 QNT *"
62,THORChain,RUNE,"$2,051,899,902.58",$6.20,"330,688,061 RUNE *"
63,Curve DAO Token,CRV,"$2,028,478,241.66",$4.53,"448,195,583 CRV *"
64,Enjin Coin,ENJ,"$1,948,456,624.79",$2.30,"847,535,706 ENJ *"
65,Zcash,ZEC,"$1,941,547,419.57",$143.94,"13,488,588 ZEC"
66,Amp,AMP,"$1,815,596,192.50",$0.043,"42,227,702,186 AMP *"
67,eCash,XEC,"$1,818,256,256.04",$0.00009597,"18,947,017,173,313 XEC *"
68,Celo,CELO,"$1,804,458,522.89",$4.66,"387,111,233 CELO *"
69,Arweave,AR,"$1,679,692,282.24",$50.30,"33,394,701 AR *"
70,Neo,NEO,"$1,671,909,699.81",$23.70,"70,538,831 NEO *"
71,Dash,DASH,"$1,611,519,963.09",$153.17,"10,521,312 DASH"
72,Kadena,KDA,"$1,561,198,707.74",$9.37,"166,705,132 KDA"
73,Chiliz,CHZ,"$1,554,175,993.66",$0.261,"5,954,919,766 CHZ *"
74,KuCoin Token,KCS,"$1,546,366,902.12",$19.30,"80,118,638 KCS *"
75,Basic Attention Token,BAT,"$1,544,656,482.64",$1.03,"1,494,004,919 BAT *"
76,Waves,WAVES,"$1,511,913,730.93",$14.11,"107,182,210 WAVES *"
77,OKB,OKB,"$1,446,670,613.43",$24.11,"60,000,000 OKB *"
78,Huobi Token,HT,"$1,417,361,975.92",$8.99,"157,723,680 HT *"
79,TrueUSD,TUSD,"$1,326,536,597.94",$1.00,"1,325,961,545 TUSD *"
80,Compound,COMP,"$1,227,299,293.00",$194.09,"6,323,391 COMP *"
81,yearn.finance,YFI,"$1,196,835,734.53","$32,666.76","36,638 YFI *"
82,Oasis Network,ROSE,"$1,181,907,765.73",$0.3384,"3,493,014,306 ROSE *"
83,Nexo,NEXO,"$1,170,832,152.02",$2.09,"560,000,011 NEXO *"
84,Mina,MINA,"$1,153,959,656.31",$3.34,"345,008,388 MINA *"
85,XDC Network,XDC,"$1,076,182,686.28",$0.08746,"12,305,012,699 XDC *"
86,Holo,HOT,"$1,055,361,022.39",$0.006096,"173,113,683,517 HOT *"
87,NEM,XEM,"$1,038,145,706.30",$0.1153,"8,999,999,999 XEM *"
88,Ravencoin,RVN,"$1,032,020,691.79",$0.09854,"10,473,290,000 RVN"
89,IoTeX,IOTX,"$992,197,575.97",$0.104,"9,540,779,324 IOTX *"
90,1inch Network,1INCH,"$944,898,164.89",$2.16,"438,450,565 1INCH *"
91,Pax Dollar,USDP,"$945,347,633.49",$0.9997,"945,642,940 USDP *"
92,Secret,SCRT,"$889,245,463.76",$5.94,"149,815,729 SCRT *"
93,Theta Fuel,TFUEL,"$889,407,797.66",$0.1678,"5,301,214,400 TFUEL *"
94,SushiSwap,SUSHI,"$881,769,335.34",$6.93,"127,244,443 SUSHI *"
95,Gnosis,GNO,"$886,949,784.62",$475.57,"1,865,027 GNO *"
96,Bancor,BNT,"$844,201,528.66",$3.19,"264,851,920 BNT *"
97,BORA,BORA,"$826,273,388.66",$0.9594,"861,250,000 BORA *"
98,WAX,WAXP,"$794,853,164.70",$0.4178,"1,902,441,505 WAXP *"
99,Livepeer,LPT,"$783,086,821.62",$37.00,"21,164,655 LPT *"
100,APENFT,NFT,"$772,225,186.39",$0.000002787,"277,080,562,500,000 NFT *"
101,Decred,DCR,"$772,529,807.97",$56.54,"13,662,268 DCR"
102,Celsius,CEL,"$766,773,892.53",$3.21,"238,863,520 CEL *"
103,Velas,VLX,"$765,481,628.09",$0.3409,"2,245,778,548 VLX *"
104,Zilliqa,ZIL,"$761,010,164.02",$0.06215,"12,244,895,175 ZIL"
105,Qtum,QTUM,"$758,053,405.88",$7.66,"98,960,982 QTUM *"
106,OMG Network,OMG,"$753,737,654.55",$5.37,"140,245,398 OMG *"
107,Ankr,ANKR,"$753,911,969.79",$0.09236,"8,162,899,378 ANKR *"
108,renBTC,RENBTC,"$750,831,143.07","$42,130.87","17,821 RENBTC *"
109,Voyager Token,VGX,"$731,009,415.32",$2.62,"278,482,214 VGX *"
110,Dogelon Mars,ELON,"$714,191,854.66",$0.000001285,"555,737,058,705,711 ELON *"
111,Revain,REV,"$704,369,628.17",$0.008281,"85,061,485,690 REV *"
112,ICON,ICX,"$703,984,096.55",$1.01,"693,879,155 ICX *"
113,Immutable X,IMX,"$705,003,810.72",$3.75,"188,160,768 IMX *"
114,Audius,AUDIO,"$690,849,287.08",$1.34,"515,745,635 AUDIO *"
115,Perpetual Protocol,PERP,"$684,332,062.83",$9.19,"74,475,000 PERP *"
116,Siacoin,SC,"$673,035,234.76",$0.01349,"49,880,812,992 SC"
117,Kava,KAVA,"$671,620,879.57",$4.58,"146,631,731 KAVA *"
118,Horizen,ZEN,"$668,352,175.97",$55.98,"11,938,113 ZEN"
119,Flux,FLUX,"$639,446,053.95",$2.86,"223,672,205 FLUX"
120,Bitcoin Gold,BTG,"$629,446,551.90",$35.94,"17,513,924 BTG"
